Process,Topic,SAP Table,Business Table
Controlling,Financial KPI Dashboard,BSIK,Receivables & Payables
Controlling,Replacement Product Costs,BKPF,Financial Document
Controlling,Replacement Product Costs,BSEG,Financial Document
Controlling,Replacement Product Costs,FAGLFLEXA,Flexible GL Document
Controlling,Replacement Product Costs,COBK,Controlling Document Header
Controlling,Replacement Product Costs,COEP,Controlling Line Item
Controlling,Replacement Product Costs,COSP,Cost Center Totals
Controlling,Replacement Product Costs,COSS,Cost Center Totals by Cost Element
Controlling,Replacement Product Costs,CSKA,Cost Element Master
Controlling,Replacement Product Costs,CSKB,Cost Element Company Code
Controlling,Replacement Product Costs,CSKS,Cost Center Master
Controlling,Replacement Product Costs,CSKT,Cost Center Text
Controlling,Replacement Product Costs,ANLA,Asset Master Record
Controlling,Replacement Product Costs,ANEP,Asset Line Item
Controlling,Replacement Product Costs,MLCD,Material Ledger Document
Controlling,Replacement Product Costs,BSAK,Receivables & Payables
Controlling,Replacement Product Costs,BSAD,Receivables & Payables
Controlling,Replacement Product Costs,BSAS,Receivables & Payables
Controlling,Replacement Product Costs,BSID,Receivables & Payables
Controlling,Replacement Product Costs,BSIK,Receivables & Payables
Controlling,Correction analysis,BKPF,Financial Document
Controlling,Correction analysis,BSEG,Financial Document
Controlling,Correction analysis,FAGLFLEXA,Flexible GL Document
Controlling,Correction analysis,COBK,Controlling Document Header
Controlling,Correction analysis,COEP,Controlling Line Item
Controlling,Correction analysis,COSP,Cost Center Totals
Controlling,Correction analysis,COSS,Cost Center Totals by Cost Element
Controlling,Correction analysis,CSKA,Cost Element Master
Controlling,Correction analysis,CSKB,Cost Element Company Code
Controlling,Correction analysis,CSKS,Cost Center Master
Controlling,Correction analysis,CSKT,Cost Center Text
Controlling,Correction analysis,ANLA,Asset Master Record
Controlling,Correction analysis,ANEP,Asset Line Item
Controlling,Correction analysis,MLCD,Material Ledger Document
Controlling,Correction analysis,BSAK,Receivables & Payables
Controlling,Correction analysis,BSAD,Receivables & Payables
Controlling,Correction analysis,BSAS,Receivables & Payables
Controlling,Correction analysis,BSID,Receivables & Payables
Controlling,Correction analysis,BSIK,Receivables & Payables
Human Resource,Absenteeism Reporting,PA0000,HR Employee & Workforce
Human Resource,Absenteeism Reporting,PA0001,HR Employee & Workforce
Human Resource,Absenteeism Reporting,PA0002,HR Employee & Workforce
Human Resource,Absenteeism Reporting,PA0006,HR Employee & Workforce
Human Resource,Absenteeism Reporting,PA0007,HR Employee & Workforce
Human Resource,Absenteeism Reporting,PA0008,HR Employee & Workforce
Human Resource,Absenteeism Reporting,PA0014,HR Employee & Workforce
Human Resource,Absenteeism Reporting,PA0015,HR Employee & Workforce
Human Resource,Absenteeism Reporting,PA2001,HR Employee & Workforce
Human Resource,Absenteeism Reporting,PA2002,HR Employee & Workforce
Human Resource,Absenteeism Reporting,PA2006,HR Employee & Workforce
Human Resource,Absenteeism Reporting,HRP1000,HR Employee & Workforce
Human Resource,Absenteeism Reporting,HRP1001,HR Employee & Workforce
Human Resource,Absenteeism Reporting,T527X,HR Employee & Workforce
Human Resource,Employee Turnover Rate,PA0000,HR Employee & Workforce
Human Resource,Employee Turnover Rate,PA0001,HR Employee & Workforce
Human Resource,Employee Turnover Rate,PA0002,HR Employee & Workforce
Human Resource,Employee Turnover Rate,PA0006,HR Employee & Workforce
Human Resource,Employee Turnover Rate,PA0007,HR Employee & Workforce
Human Resource,Employee Turnover Rate,PA0008,HR Employee & Workforce
Human Resource,Employee Turnover Rate,PA0014,HR Employee & Workforce
Human Resource,Employee Turnover Rate,PA0015,HR Employee & Workforce
Human Resource,Employee Turnover Rate,PA2001,HR Employee & Workforce
Human Resource,Employee Turnover Rate,PA2002,HR Employee & Workforce
Human Resource,Employee Turnover Rate,PA2006,HR Employee & Workforce
Human Resource,Employee Turnover Rate,HRP1000,HR Employee & Workforce
Human Resource,Employee Turnover Rate,HRP1001,HR Employee & Workforce
Human Resource,Employee Turnover Rate,T527X,HR Employee & Workforce
Human Resource,Recruitment Funnel Metrics,PA0000,HR Employee & Workforce
Human Resource,Recruitment Funnel Metrics,PA0001,HR Employee & Workforce
Human Resource,Recruitment Funnel Metrics,PA0002,HR Employee & Workforce
Human Resource,Recruitment Funnel Metrics,PA0006,HR Employee & Workforce
Human Resource,Recruitment Funnel Metrics,PA0007,HR Employee & Workforce
Human Resource,Recruitment Funnel Metrics,PA0008,HR Employee & Workforce
Human Resource,Recruitment Funnel Metrics,PA0014,HR Employee & Workforce
Human Resource,Recruitment Funnel Metrics,PA0015,HR Employee & Workforce
Human Resource,Recruitment Funnel Metrics,PA2001,HR Employee & Workforce
Human Resource,Recruitment Funnel Metrics,PA2002,HR Employee & Workforce
Human Resource,Recruitment Funnel Metrics,PA2006,HR Employee & Workforce
Human Resource,Recruitment Funnel Metrics,HRP1000,HR Employee & Workforce
Human Resource,Recruitment Funnel Metrics,HRP1001,HR Employee & Workforce
Human Resource,Recruitment Funnel Metrics,T527X,HR Employee & Workforce
Human Resource,Training and Development ROI,PA0000,HR Employee & Workforce
Human Resource,Training and Development ROI,PA0001,HR Employee & Workforce
Human Resource,Training and Development ROI,PA0002,HR Employee & Workforce
Human Resource,Training and Development ROI,PA0006,HR Employee & Workforce
Human Resource,Training and Development ROI,PA0007,HR Employee & Workforce
Human Resource,Training and Development ROI,PA0008,HR Employee & Workforce
Human Resource,Training and Development ROI,PA0014,HR Employee & Workforce
Human Resource,Training and Development ROI,PA0015,HR Employee & Workforce
Human Resource,Training and Development ROI,PA2001,HR Employee & Workforce
Human Resource,Training and Development ROI,PA2002,HR Employee & Workforce
Human Resource,Training and Development ROI,PA2006,HR Employee & Workforce
Human Resource,Training and Development ROI,HRP1000,HR Employee & Workforce
Human Resource,Training and Development ROI,HRP1001,HR Employee & Workforce
Human Resource,Training and Development ROI,T527X,HR Employee & Workforce
Human Resource,Employee Engagement Levels,PA0000,HR Employee & Workforce
Human Resource,Employee Engagement Levels,PA0001,HR Employee & Workforce
Human Resource,Employee Engagement Levels,PA0002,HR Employee & Workforce
Human Resource,Employee Engagement Levels,PA0006,HR Employee & Workforce
Human Resource,Employee Engagement Levels,PA0007,HR Employee & Workforce
Human Resource,Employee Engagement Levels,PA0008,HR Employee & Workforce
Human Resource,Employee Engagement Levels,PA0014,HR Employee & Workforce
Human Resource,Employee Engagement Levels,PA0015,HR Employee & Workforce
Human Resource,Employee Engagement Levels,PA2001,HR Employee & Workforce
Human Resource,Employee Engagement Levels,PA2002,HR Employee & Workforce
Human Resource,Employee Engagement Levels,PA2006,HR Employee & Workforce
Human Resource,Employee Engagement Levels,HRP1000,HR Employee & Workforce
Human Resource,Employee Engagement Levels,HRP1001,HR Employee & Workforce
Human Resource,Employee Engagement Levels,T527X,HR Employee & Workforce
Human Resource,Compensation Benchmarking,PA0000,HR Employee & Workforce
Human Resource,Compensation Benchmarking,PA0001,HR Employee & Workforce
Human Resource,Compensation Benchmarking,PA0002,HR Employee & Workforce
Human Resource,Compensation Benchmarking,PA0006,HR Employee & Workforce
Human Resource,Compensation Benchmarking,PA0007,HR Employee & Workforce
Human Resource,Compensation Benchmarking,PA0008,HR Employee & Workforce
Human Resource,Compensation Benchmarking,PA0014,HR Employee & Workforce
Human Resource,Compensation Benchmarking,PA0015,HR Employee & Workforce
Human Resource,Compensation Benchmarking,PA2001,HR Employee & Workforce
Human Resource,Compensation Benchmarking,PA2002,HR Employee & Workforce
Human Resource,Compensation Benchmarking,PA2006,HR Employee & Workforce
Human Resource,Compensation Benchmarking,HRP1000,HR Employee & Workforce
Human Resource,Compensation Benchmarking,HRP1001,HR Employee & Workforce
Human Resource,Compensation Benchmarking,T527X,HR Employee & Workforce
Human Resource,Diversity and Inclusion Metrics,PA0000,HR Employee & Workforce
Human Resource,Diversity and Inclusion Metrics,PA0001,HR Employee & Workforce
Human Resource,Diversity and Inclusion Metrics,PA0002,HR Employee & Workforce
Human Resource,Diversity and Inclusion Metrics,PA0006,HR Employee & Workforce
Human Resource,Diversity and Inclusion Metrics,PA0007,HR Employee & Workforce
Human Resource,Diversity and Inclusion Metrics,PA0008,HR Employee & Workforce
Human Resource,Diversity and Inclusion Metrics,PA0014,HR Employee & Workforce
Human Resource,Diversity and Inclusion Metrics,PA0015,HR Employee & Workforce
Human Resource,Diversity and Inclusion Metrics,PA2001,HR Employee & Workforce
Human Resource,Diversity and Inclusion Metrics,PA2002,HR Employee & Workforce
Human Resource,Diversity and Inclusion Metrics,PA2006,HR Employee & Workforce
Human Resource,Diversity and Inclusion Metrics,HRP1000,HR Employee & Workforce
Human Resource,Diversity and Inclusion Metrics,HRP1001,HR Employee & Workforce
Human Resource,Diversity and Inclusion Metrics,T527X,HR Employee & Workforce
Human Resource,Performance Management Trends,PA0000,HR Employee & Workforce
Human Resource,Performance Management Trends,PA0001,HR Employee & Workforce
Human Resource,Performance Management Trends,PA0002,HR Employee & Workforce
Human Resource,Performance Management Trends,PA0006,HR Employee & Workforce
Human Resource,Performance Management Trends,PA0007,HR Employee & Workforce
Human Resource,Performance Management Trends,PA0008,HR Employee & Workforce
Human Resource,Performance Management Trends,PA0014,HR Employee & Workforce
Human Resource,Performance Management Trends,PA0015,HR Employee & Workforce
Human Resource,Performance Management Trends,PA2001,HR Employee & Workforce
Human Resource,Performance Management Trends,PA2002,HR Employee & Workforce
Human Resource,Performance Management Trends,PA2006,HR Employee & Workforce
Human Resource,Performance Management Trends,HRP1000,HR Employee & Workforce
Human Resource,Performance Management Trends,HRP1001,HR Employee & Workforce
Human Resource,Performance Management Trends,T527X,HR Employee & Workforce
Human Resource,Overtime and Workforce Utilization,PA0000,HR Employee & Workforce
Human Resource,Overtime and Workforce Utilization,PA0001,HR Employee & Workforce
Human Resource,Overtime and Workforce Utilization,PA0002,HR Employee & Workforce
Human Resource,Overtime and Workforce Utilization,PA0006,HR Employee & Workforce
Human Resource,Overtime and Workforce Utilization,PA0007,HR Employee & Workforce
Human Resource,Overtime and Workforce Utilization,PA0008,HR Employee & Workforce
Human Resource,Overtime and Workforce Utilization,PA0014,HR Employee & Workforce
Human Resource,Overtime and Workforce Utilization,PA0015,HR Employee & Workforce
Human Resource,Overtime and Workforce Utilization,PA2001,HR Employee & Workforce
Human Resource,Overtime and Workforce Utilization,PA2002,HR Employee & Workforce
Human Resource,Overtime and Workforce Utilization,PA2006,HR Employee & Workforce
Human Resource,Overtime and Workforce Utilization,HRP1000,HR Employee & Workforce
Human Resource,Overtime and Workforce Utilization,HRP1001,HR Employee & Workforce
Human Resource,Overtime and Workforce Utilization,T527X,HR Employee & Workforce
Human Resource,Benefits Usage and Optimization,PA0000,HR Employee & Workforce
Human Resource,Benefits Usage and Optimization,PA0001,HR Employee & Workforce
Human Resource,Benefits Usage and Optimization,PA0002,HR Employee & Workforce
Human Resource,Benefits Usage and Optimization,PA0006,HR Employee & Workforce
Human Resource,Benefits Usage and Optimization,PA0007,HR Employee & Workforce
Human Resource,Benefits Usage and Optimization,PA0008,HR Employee & Workforce
Human Resource,Benefits Usage and Optimization,PA0014,HR Employee & Workforce
Human Resource,Benefits Usage and Optimization,PA0015,HR Employee & Workforce
Human Resource,Benefits Usage and Optimization,PA2001,HR Employee & Workforce
Human Resource,Benefits Usage and Optimization,PA2002,HR Employee & Workforce
Human Resource,Benefits Usage and Optimization,PA2006,HR Employee & Workforce
Human Resource,Benefits Usage and Optimization,HRP1000,HR Employee & Workforce
Human Resource,Benefits Usage and Optimization,HRP1001,HR Employee & Workforce
Human Resource,Benefits Usage and Optimization,T527X,HR Employee & Workforce
IT System and Data Integrity,Data Quality Metrics,CDHDR,Change Document Header
IT System and Data Integrity,Data Quality Metrics,CDPOS,Change Document Item
IT System and Data Integrity,Data Quality Metrics,BDCP2,Change Pointer
IT System and Data Integrity,Data Quality Metrics,BALHDR,Application Log Header
IT System and Data Integrity,Data Quality Metrics,BALDAT,Application Log Data
IT System and Data Integrity,Data Quality Metrics,EDIDC,IT Audit & Integration
IT System and Data Integrity,Data Quality Metrics,EDID4,IT Audit & Integration
IT System and Data Integrity,Data Quality Metrics,TBDLS,Logical System
IT System and Data Integrity,Data Quality Metrics,DD02L,Table Definition
IT System and Data Integrity,Data Quality Metrics,DD03L,Field Definition
IT System and Data Integrity,Data Quality Metrics,T000,Client Master
IT System and Data Integrity,Data Quality Metrics,USR02,System User Logon
IT System and Data Integrity,Data Quality Metrics,AGR_USERS,Role Assignment
IT System and Data Integrity,Duplicate Records Check,CDHDR,Change Document Header
IT System and Data Integrity,Duplicate Records Check,CDPOS,Change Document Item
IT System and Data Integrity,Duplicate Records Check,BDCP2,Change Pointer
IT System and Data Integrity,Duplicate Records Check,BALHDR,Application Log Header
IT System and Data Integrity,Duplicate Records Check,BALDAT,Application Log Data
IT System and Data Integrity,Duplicate Records Check,EDIDC,IT Audit & Integration
IT System and Data Integrity,Duplicate Records Check,EDID4,IT Audit & Integration
IT System and Data Integrity,Duplicate Records Check,TBDLS,Logical System
IT System and Data Integrity,Duplicate Records Check,DD02L,Table Definition
IT System and Data Integrity,Duplicate Records Check,DD03L,Field Definition
IT System and Data Integrity,Duplicate Records Check,T000,Client Master
IT System and Data Integrity,Duplicate Records Check,USR02,System User Logon
IT System and Data Integrity,Duplicate Records Check,AGR_USERS,Role Assignment
IT System and Data Integrity,Master Data Governance Compliance,CDHDR,Change Document Header
IT System and Data Integrity,Master Data Governance Compliance,CDPOS,Change Document Item
IT System and Data Integrity,Master Data Governance Compliance,BDCP2,Change Pointer
IT System and Data Integrity,Master Data Governance Compliance,BALHDR,Application Log Header
IT System and Data Integrity,Master Data Governance Compliance,BALDAT,Application Log Data
IT System and Data Integrity,Master Data Governance Compliance,EDIDC,IT Audit & Integration
IT System and Data Integrity,Master Data Governance Compliance,EDID4,IT Audit & Integration
IT System and Data Integrity,Master Data Governance Compliance,TBDLS,Logical System
IT System and Data Integrity,Master Data Governance Compliance,DD02L,Table Definition
IT System and Data Integrity,Master Data Governance Compliance,DD03L,Field Definition
IT System and Data Integrity,Master Data Governance Compliance,T000,Client Master
IT System and Data Integrity,Master Data Governance Compliance,USR02,System User Logon
IT System and Data Integrity,Master Data Governance Compliance,AGR_USERS,Role Assignment
IT System and Data Integrity,Data Ownership and Stewardship,CDHDR,Change Document Header
IT System and Data Integrity,Data Ownership and Stewardship,CDPOS,Change Document Item
IT System and Data Integrity,Data Ownership and Stewardship,BDCP2,Change Pointer
IT System and Data Integrity,Data Ownership and Stewardship,BALHDR,Application Log Header
IT System and Data Integrity,Data Ownership and Stewardship,BALDAT,Application Log Data
IT System and Data Integrity,Data Ownership and Stewardship,EDIDC,IT Audit & Integration
IT System and Data Integrity,Data Ownership and Stewardship,EDID4,IT Audit & Integration
IT System and Data Integrity,Data Ownership and Stewardship,TBDLS,Logical System
IT System and Data Integrity,Data Ownership and Stewardship,DD02L,Table Definition
IT System and Data Integrity,Data Ownership and Stewardship,DD03L,Field Definition
IT System and Data Integrity,Data Ownership and Stewardship,T000,Client Master
IT System and Data Integrity,Data Ownership and Stewardship,USR02,System User Logon
IT System and Data Integrity,Data Ownership and Stewardship,AGR_USERS,Role Assignment
IT System and Data Integrity,Data Update Frequency,CDHDR,Change Document Header
IT System and Data Integrity,Data Update Frequency,CDPOS,Change Document Item
IT System and Data Integrity,Data Update Frequency,BDCP2,Change Pointer
IT System and Data Integrity,Data Update Frequency,BALHDR,Application Log Header
IT System and Data Integrity,Data Update Frequency,BALDAT,Application Log Data
IT System and Data Integrity,Data Update Frequency,EDIDC,IT Audit & Integration
IT System and Data Integrity,Data Update Frequency,EDID4,IT Audit & Integration
IT System and Data Integrity,Data Update Frequency,TBDLS,Logical System
IT System and Data Integrity,Data Update Frequency,DD02L,Table Definition
IT System and Data Integrity,Data Update Frequency,DD03L,Field Definition
IT System and Data Integrity,Data Update Frequency,T000,Client Master
IT System and Data Integrity,Data Update Frequency,USR02,System User Logon
IT System and Data Integrity,Data Update Frequency,AGR_USERS,Role Assignment
IT System and Data Integrity,Supplier and Vendor Master Data,CDHDR,Change Document Header
IT System and Data Integrity,Supplier and Vendor Master Data,CDPOS,Change Document Item
IT System and Data Integrity,Supplier and Vendor Master Data,BDCP2,Change Pointer
IT System and Data Integrity,Supplier and Vendor Master Data,BALHDR,Application Log Header
IT System and Data Integrity,Supplier and Vendor Master Data,BALDAT,Application Log Data
IT System and Data Integrity,Supplier and Vendor Master Data,EDIDC,IT Audit & Integration
IT System and Data Integrity,Supplier and Vendor Master Data,EDID4,IT Audit & Integration
IT System and Data Integrity,Supplier and Vendor Master Data,TBDLS,Logical System
IT System and Data Integrity,Supplier and Vendor Master Data,DD02L,Table Definition
IT System and Data Integrity,Supplier and Vendor Master Data,DD03L,Field Definition
IT System and Data Integrity,Supplier and Vendor Master Data,T000,Client Master
IT System and Data Integrity,Supplier and Vendor Master Data,USR02,System User Logon
IT System and Data Integrity,Supplier and Vendor Master Data,AGR_USERS,Role Assignment
IT System and Data Integrity,Customer Master Data,CDHDR,Change Document Header
IT System and Data Integrity,Customer Master Data,CDPOS,Change Document Item
IT System and Data Integrity,Customer Master Data,BDCP2,Change Pointer
IT System and Data Integrity,Customer Master Data,BALHDR,Application Log Header
IT System and Data Integrity,Customer Master Data,BALDAT,Application Log Data
IT System and Data Integrity,Customer Master Data,EDIDC,IT Audit & Integration
IT System and Data Integrity,Customer Master Data,EDID4,IT Audit & Integration
IT System and Data Integrity,Customer Master Data,TBDLS,Logical System
IT System and Data Integrity,Customer Master Data,DD02L,Table Definition
IT System and Data Integrity,Customer Master Data,DD03L,Field Definition
IT System and Data Integrity,Customer Master Data,T000,Client Master
IT System and Data Integrity,Customer Master Data,USR02,System User Logon
IT System and Data Integrity,Customer Master Data,AGR_USERS,Role Assignment
IT System and Data Integrity,Product Master Data,CDHDR,Change Document Header
IT System and Data Integrity,Product Master Data,CDPOS,Change Document Item
IT System and Data Integrity,Product Master Data,BDCP2,Change Pointer
IT System and Data Integrity,Product Master Data,BALHDR,Application Log Header
IT System and Data Integrity,Product Master Data,BALDAT,Application Log Data
IT System and Data Integrity,Product Master Data,EDIDC,IT Audit & Integration
IT System and Data Integrity,Product Master Data,EDID4,IT Audit & Integration
IT System and Data Integrity,Product Master Data,TBDLS,Logical System
IT System and Data Integrity,Product Master Data,DD02L,Table Definition
IT System and Data Integrity,Product Master Data,DD03L,Field Definition
IT System and Data Integrity,Product Master Data,T000,Client Master
IT System and Data Integrity,Product Master Data,USR02,System User Logon
IT System and Data Integrity,Product Master Data,AGR_USERS,Role Assignment
IT System and Data Integrity,Hierarchy and data object relations,CDHDR,Change Document Header
IT System and Data Integrity,Hierarchy and data object relations,CDPOS,Change Document Item
IT System and Data Integrity,Hierarchy and data object relations,BDCP2,Change Pointer
IT System and Data Integrity,Hierarchy and data object relations,BALHDR,Application Log Header
IT System and Data Integrity,Hierarchy and data object relations,BALDAT,Application Log Data
IT System and Data Integrity,Hierarchy and data object relations,EDIDC,IT Audit & Integration
IT System and Data Integrity,Hierarchy and data object relations,EDID4,IT Audit & Integration
IT System and Data Integrity,Hierarchy and data object relations,TBDLS,Logical System
IT System and Data Integrity,Hierarchy and data object relations,DD02L,Table Definition
IT System and Data Integrity,Hierarchy and data object relations,DD03L,Field Definition
IT System and Data Integrity,Hierarchy and data object relations,T000,Client Master
IT System and Data Integrity,Hierarchy and data object relations,USR02,System User Logon
IT System and Data Integrity,Hierarchy and data object relations,AGR_USERS,Role Assignment
IT System and Data Integrity,Integration with other IT Systems,CDHDR,Change Document Header
IT System and Data Integrity,Integration with other IT Systems,CDPOS,Change Document Item
IT System and Data Integrity,Integration with other IT Systems,BDCP2,Change Pointer
IT System and Data Integrity,Integration with other IT Systems,BALHDR,Application Log Header
IT System and Data Integrity,Integration with other IT Systems,BALDAT,Application Log Data
IT System and Data Integrity,Integration with other IT Systems,EDIDC,IT Audit & Integration
IT System and Data Integrity,Integration with other IT Systems,EDID4,IT Audit & Integration
IT System and Data Integrity,Integration with other IT Systems,TBDLS,Logical System
IT System and Data Integrity,Integration with other IT Systems,DD02L,Table Definition
IT System and Data Integrity,Integration with other IT Systems,DD03L,Field Definition
IT System and Data Integrity,Integration with other IT Systems,T000,Client Master
IT System and Data Integrity,Integration with other IT Systems,USR02,System User Logon
IT System and Data Integrity,Integration with other IT Systems,AGR_USERS,Role Assignment
IT System and Data Integrity,Data Harmonization multiple SAP sources,CDHDR,Change Document Header
IT System and Data Integrity,Data Harmonization multiple SAP sources,CDPOS,Change Document Item
IT System and Data Integrity,Data Harmonization multiple SAP sources,BDCP2,Change Pointer
IT System and Data Integrity,Data Harmonization multiple SAP sources,BALHDR,Application Log Header
IT System and Data Integrity,Data Harmonization multiple SAP sources,BALDAT,Application Log Data
IT System and Data Integrity,Data Harmonization multiple SAP sources,EDIDC,IT Audit & Integration
IT System and Data Integrity,Data Harmonization multiple SAP sources,EDID4,IT Audit & Integration
IT System and Data Integrity,Data Harmonization multiple SAP sources,TBDLS,Logical System
IT System and Data Integrity,Data Harmonization multiple SAP sources,DD02L,Table Definition
IT System and Data Integrity,Data Harmonization multiple SAP sources,DD03L,Field Definition
IT System and Data Integrity,Data Harmonization multiple SAP sources,T000,Client Master
IT System and Data Integrity,Data Harmonization multiple SAP sources,USR02,System User Logon
IT System and Data Integrity,Data Harmonization multiple SAP sources,AGR_USERS,Role Assignment
IT System and Data Integrity,Reporting development,CDHDR,Change Document Header
IT System and Data Integrity,Reporting development,CDPOS,Change Document Item
IT System and Data Integrity,Reporting development,BDCP2,Change Pointer
IT System and Data Integrity,Reporting development,BALHDR,Application Log Header
IT System and Data Integrity,Reporting development,BALDAT,Application Log Data
IT System and Data Integrity,Reporting development,EDIDC,IT Audit & Integration
IT System and Data Integrity,Reporting development,EDID4,IT Audit & Integration
IT System and Data Integrity,Reporting development,TBDLS,Logical System
IT System and Data Integrity,Reporting development,DD02L,Table Definition
IT System and Data Integrity,Reporting development,DD03L,Field Definition
IT System and Data Integrity,Reporting development,T000,Client Master
IT System and Data Integrity,Reporting development,USR02,System User Logon
IT System and Data Integrity,Reporting development,AGR_USERS,Role Assignment
