Process,Topic,SAP Table,Business Table,Fact/Dim Table,Functional Description,Measures
Controlling,Replacement Product Costs,BSAS,Receivables & Payables,Fact AR/AP,Cleared general ledger line items used in working capital and cash flow analysis,cleared amount
Controlling,Replacement Product Costs,BSID,Receivables & Payables,Fact AR/AP,Open customer line items used in receivables and credit management,"open amount, aging days"
Controlling,Replacement Product Costs,BSIK,Receivables & Payables,Fact AR/AP,Open vendor line items used in payables and supplier performance analysis,"open amount, aging days"
Controlling,Correction analysis,BKPF,Financial Document,Fact GL Postings,General ledger document header for financial postings and audits,"debit amount, credit amount, posting amount"
Controlling,Correction analysis,BSEG,Financial Document,Fact GL Postings,"General ledger line items with account, cost object and tax data","debit amount, credit amount, line amount"
Controlling,Correction analysis,FAGLFLEXA,Flexible GL Document,Fact GL Postings,Flexible ledger document postings for segment and profit center reporting,"segment amount, profit center amount"
Controlling,Correction analysis,COBK,Controlling Document Header,Fact Cost Accounting,Controlling document header for cost posting and settlement,"cost amount, allocated cost"
Controlling,Correction analysis,COEP,Controlling Line Item,Fact Cost Accounting,"Controlling line items by cost center, order and activity type","actual cost, planned cost"
Controlling,Correction analysis,COSP,Cost Center Totals,Fact Cost Accounting,Cost center actual/plan totals by period,"actual cost, planned cost"
Controlling,Correction analysis,COSS,Cost Center Totals by Cost Element,Fact Cost Accounting,Cost center totals by cost element and fiscal period,"actual cost, plan cost"
Controlling,Correction analysis,CSKA,Cost Element Master,Dim Cost Element,Cost element master data for financial analysis,
Controlling,Correction analysis,CSKB,Cost Element Company Code,Dim Cost Element,Cost element data per company code for planning and reporting,
Controlling,Correction analysis,CSKS,Cost Center Master,Dim Cost Center,Cost center master data for organizational and cost control,
Controlling,Correction analysis,CSKT,Cost Center Text,Dim Cost Center,Cost center text descriptions for reporting clarity,
Controlling,Correction analysis,ANLA,Asset Master Record,Dim Asset,Fixed asset master record with capitalization details,
Controlling,Correction analysis,ANEP,Asset Line Item,Fact Asset Transactions,Asset line items for depreciation and acquisition postings,"asset amount, depreciation amount"
Controlling,Correction analysis,MLCD,Material Ledger Document,Dim Asset,Material ledger document summary used for asset and inventory valuation,
Controlling,Correction analysis,BSAK,Receivables & Payables,Fact AR/AP,Cleared vendor line items used in payables aging and cash flow analysis,"cleared amount, clearing date"
Controlling,Correction analysis,BSAD,Receivables & Payables,Fact AR/AP,Cleared customer line items used in receivables aging and cash flow analysis,"cleared amount, clearing date"
Controlling,Correction analysis,BSAS,Receivables & Payables,Fact AR/AP,Cleared general ledger line items used in working capital and cash flow analysis,cleared amount
Controlling,Correction analysis,BSID,Receivables & Payables,Fact AR/AP,Open customer line items used in receivables and credit management,"open amount, aging days"
Controlling,Correction analysis,BSIK,Receivables & Payables,Fact AR/AP,Open vendor line items used in payables and supplier performance analysis,"open amount, aging days"
Human Resource,Absenteeism Reporting,PA0000,HR Employee & Workforce,Dim Employee,HR action record for personnel master updates,
Human Resource,Absenteeism Reporting,PA0001,HR Employee & Workforce,Dim Employee,"Organizational assignment for employee cost center, position and department",
Human Resource,Absenteeism Reporting,PA0002,HR Employee & Workforce,Dim Employee,Personal data and identity attributes for employees,
Human Resource,Absenteeism Reporting,PA0006,HR Employee & Workforce,Dim Employee,Employee address details for contact and locality reporting,
Human Resource,Absenteeism Reporting,PA0007,HR Employee & Workforce,Dim Employee,Planned working time for shift and capacity planning,
Human Resource,Absenteeism Reporting,PA0008,HR Employee & Workforce,Dim Employee,Basic pay master data for compensation analytics,
Human Resource,Absenteeism Reporting,PA0014,HR Employee & Workforce,Dim Employee,Recurring payments and deductions for payroll and benefits,
Human Resource,Absenteeism Reporting,PA0015,HR Employee & Workforce,Dim Employee,Additional payments and allowances for employee cost tracking,
Human Resource,Absenteeism Reporting,PA2001,HR Employee & Workforce,Fact Workforce Attendance,"Absence records for leave, sickness and attendance analysis","absence days, absence type count"
Human Resource,Absenteeism Reporting,PA2002,HR Employee & Workforce,Fact Workforce Attendance,Attendance records for working time and presence tracking,"attendance days, working hours"
Human Resource,Absenteeism Reporting,PA2006,HR Employee & Workforce,Dim Employee,Absence quota data for leave entitlement and planning,
Human Resource,Absenteeism Reporting,HRP1000,HR Employee & Workforce,Dim Organization,HR object master data for organizational structure and positions,
Human Resource,Absenteeism Reporting,HRP1001,HR Employee & Workforce,Dim Organization,"HR relationships linking positions, jobs and employees",
Human Resource,Absenteeism Reporting,T527X,HR Employee & Workforce,Dim Organization,Organizational unit and position text descriptions,
Human Resource,Employee Turnover Rate,PA0000,HR Employee & Workforce,Dim Employee,HR action record for personnel master updates,
Human Resource,Employee Turnover Rate,PA0001,HR Employee & Workforce,Dim Employee,"Organizational assignment for employee cost center, position and department",
Human Resource,Employee Turnover Rate,PA0002,HR Employee & Workforce,Dim Employee,Personal data and identity attributes for employees,
Human Resource,Employee Turnover Rate,PA0006,HR Employee & Workforce,Dim Employee,Employee address details for contact and locality reporting,
Human Resource,Employee Turnover Rate,PA0007,HR Employee & Workforce,Dim Employee,Planned working time for shift and capacity planning,
Human Resource,Employee Turnover Rate,PA0008,HR Employee & Workforce,Dim Employee,Basic pay master data for compensation analytics,
Human Resource,Employee Turnover Rate,PA0014,HR Employee & Workforce,Dim Employee,Recurring payments and deductions for payroll and benefits,
Human Resource,Employee Turnover Rate,PA0015,HR Employee & Workforce,Dim Employee,Additional payments and allowances for employee cost tracking,
Human Resource,Employee Turnover Rate,PA2001,HR Employee & Workforce,Fact Workforce Attendance,"Absence records for leave, sickness and attendance analysis","absence days, absence type count"
Human Resource,Employee Turnover Rate,PA2002,HR Employee & Workforce,Fact Workforce Attendance,Attendance records for working time and presence tracking,"attendance days, working hours"
Human Resource,Employee Turnover Rate,PA2006,HR Employee & Workforce,Dim Employee,Absence quota data for leave entitlement and planning,
Human Resource,Employee Turnover Rate,HRP1000,HR Employee & Workforce,Dim Organization,HR object master data for organizational structure and positions,
Human Resource,Employee Turnover Rate,HRP1001,HR Employee & Workforce,Dim Organization,"HR relationships linking positions, jobs and employees",
Human Resource,Employee Turnover Rate,T527X,HR Employee & Workforce,Dim Organization,Organizational unit and position text descriptions,
Human Resource,Recruitment Funnel Metrics,PA0000,HR Employee & Workforce,Dim Employee,HR action record for personnel master updates,
Human Resource,Recruitment Funnel Metrics,PA0001,HR Employee & Workforce,Dim Employee,"Organizational assignment for employee cost center, position and department",
Human Resource,Recruitment Funnel Metrics,PA0002,HR Employee & Workforce,Dim Employee,Personal data and identity attributes for employees,
Human Resource,Recruitment Funnel Metrics,PA0006,HR Employee & Workforce,Dim Employee,Employee address details for contact and locality reporting,
Human Resource,Recruitment Funnel Metrics,PA0007,HR Employee & Workforce,Dim Employee,Planned working time for shift and capacity planning,
Human Resource,Recruitment Funnel Metrics,PA0008,HR Employee & Workforce,Dim Employee,Basic pay master data for compensation analytics,
Human Resource,Recruitment Funnel Metrics,PA0014,HR Employee & Workforce,Dim Employee,Recurring payments and deductions for payroll and benefits,
Human Resource,Recruitment Funnel Metrics,PA0015,HR Employee & Workforce,Dim Employee,Additional payments and allowances for employee cost tracking,
Human Resource,Recruitment Funnel Metrics,PA2001,HR Employee & Workforce,Fact Workforce Attendance,"Absence records for leave, sickness and attendance analysis","absence days, absence type count"
Human Resource,Recruitment Funnel Metrics,PA2002,HR Employee & Workforce,Fact Workforce Attendance,Attendance records for working time and presence tracking,"attendance days, working hours"
Human Resource,Recruitment Funnel Metrics,PA2006,HR Employee & Workforce,Dim Employee,Absence quota data for leave entitlement and planning,
Human Resource,Recruitment Funnel Metrics,HRP1000,HR Employee & Workforce,Dim Organization,HR object master data for organizational structure and positions,
Human Resource,Recruitment Funnel Metrics,HRP1001,HR Employee & Workforce,Dim Organization,"HR relationships linking positions, jobs and employees",
Human Resource,Recruitment Funnel Metrics,T527X,HR Employee & Workforce,Dim Organization,Organizational unit and position text descriptions,
Human Resource,Training and Development ROI,PA0000,HR Employee & Workforce,Dim Employee,HR action record for personnel master updates,
Human Resource,Training and Development ROI,PA0001,HR Employee & Workforce,Dim Employee,"Organizational assignment for employee cost center, position and department",
Human Resource,Training and Development ROI,PA0002,HR Employee & Workforce,Dim Employee,Personal data and identity attributes for employees,
Human Resource,Training and Development ROI,PA0006,HR Employee & Workforce,Dim Employee,Employee address details for contact and locality reporting,
Human Resource,Training and Development ROI,PA0007,HR Employee & Workforce,Dim Employee,Planned working time for shift and capacity planning,
Human Resource,Training and Development ROI,PA0008,HR Employee & Workforce,Dim Employee,Basic pay master data for compensation analytics,
Human Resource,Training and Development ROI,PA0014,HR Employee & Workforce,Dim Employee,Recurring payments and deductions for payroll and benefits,
Human Resource,Training and Development ROI,PA0015,HR Employee & Workforce,Dim Employee,Additional payments and allowances for employee cost tracking,
Human Resource,Training and Development ROI,PA2001,HR Employee & Workforce,Fact Workforce Attendance,"Absence records for leave, sickness and attendance analysis","absence days, absence type count"
Human Resource,Training and Development ROI,PA2002,HR Employee & Workforce,Fact Workforce Attendance,Attendance records for working time and presence tracking,"attendance days, working hours"
Human Resource,Training and Development ROI,PA2006,HR Employee & Workforce,Dim Employee,Absence quota data for leave entitlement and planning,
Human Resource,Training and Development ROI,HRP1000,HR Employee & Workforce,Dim Organization,HR object master data for organizational structure and positions,
Human Resource,Training and Development ROI,HRP1001,HR Employee & Workforce,Dim Organization,"HR relationships linking positions, jobs and employees",
Human Resource,Training and Development ROI,T527X,HR Employee & Workforce,Dim Organization,Organizational unit and position text descriptions,
Human Resource,Employee Engagement Levels,PA0000,HR Employee & Workforce,Dim Employee,HR action record for personnel master updates,
Human Resource,Employee Engagement Levels,PA0001,HR Employee & Workforce,Dim Employee,"Organizational assignment for employee cost center, position and department",
Human Resource,Employee Engagement Levels,PA0002,HR Employee & Workforce,Dim Employee,Personal data and identity attributes for employees,
Human Resource,Employee Engagement Levels,PA0006,HR Employee & Workforce,Dim Employee,Employee address details for contact and locality reporting,
Human Resource,Employee Engagement Levels,PA0007,HR Employee & Workforce,Dim Employee,Planned working time for shift and capacity planning,
Human Resource,Employee Engagement Levels,PA0008,HR Employee & Workforce,Dim Employee,Basic pay master data for compensation analytics,
Human Resource,Employee Engagement Levels,PA0014,HR Employee & Workforce,Dim Employee,Recurring payments and deductions for payroll and benefits,
Human Resource,Employee Engagement Levels,PA0015,HR Employee & Workforce,Dim Employee,Additional payments and allowances for employee cost tracking,
Human Resource,Employee Engagement Levels,PA2001,HR Employee & Workforce,Fact Workforce Attendance,"Absence records for leave, sickness and attendance analysis","absence days, absence type count"
Human Resource,Employee Engagement Levels,PA2002,HR Employee & Workforce,Fact Workforce Attendance,Attendance records for working time and presence tracking,"attendance days, working hours"
Human Resource,Employee Engagement Levels,PA2006,HR Employee & Workforce,Dim Employee,Absence quota data for leave entitlement and planning,
Human Resource,Employee Engagement Levels,HRP1000,HR Employee & Workforce,Dim Organization,HR object master data for organizational structure and positions,
Human Resource,Employee Engagement Levels,HRP1001,HR Employee & Workforce,Dim Organization,"HR relationships linking positions, jobs and employees",
Human Resource,Employee Engagement Levels,T527X,HR Employee & Workforce,Dim Organization,Organizational unit and position text descriptions,
Human Resource,Compensation Benchmarking,PA0000,HR Employee & Workforce,Dim Employee,HR action record for personnel master updates,
Human Resource,Compensation Benchmarking,PA0001,HR Employee & Workforce,Dim Employee,"Organizational assignment for employee cost center, position and department",
Human Resource,Compensation Benchmarking,PA0002,HR Employee & Workforce,Dim Employee,Personal data and identity attributes for employees,
Human Resource,Compensation Benchmarking,PA0006,HR Employee & Workforce,Dim Employee,Employee address details for contact and locality reporting,
Human Resource,Compensation Benchmarking,PA0007,HR Employee & Workforce,Dim Employee,Planned working time for shift and capacity planning,
Human Resource,Compensation Benchmarking,PA0008,HR Employee & Workforce,Dim Employee,Basic pay master data for compensation analytics,
Human Resource,Compensation Benchmarking,PA0014,HR Employee & Workforce,Dim Employee,Recurring payments and deductions for payroll and benefits,
Human Resource,Compensation Benchmarking,PA0015,HR Employee & Workforce,Dim Employee,Additional payments and allowances for employee cost tracking,
Human Resource,Compensation Benchmarking,PA2001,HR Employee & Workforce,Fact Workforce Attendance,"Absence records for leave, sickness and attendance analysis","absence days, absence type count"
Human Resource,Compensation Benchmarking,PA2002,HR Employee & Workforce,Fact Workforce Attendance,Attendance records for working time and presence tracking,"attendance days, working hours"
Human Resource,Compensation Benchmarking,PA2006,HR Employee & Workforce,Dim Employee,Absence quota data for leave entitlement and planning,
Human Resource,Compensation Benchmarking,HRP1000,HR Employee & Workforce,Dim Organization,HR object master data for organizational structure and positions,
Human Resource,Compensation Benchmarking,HRP1001,HR Employee & Workforce,Dim Organization,"HR relationships linking positions, jobs and employees",
Human Resource,Compensation Benchmarking,T527X,HR Employee & Workforce,Dim Organization,Organizational unit and position text descriptions,
Human Resource,Diversity and Inclusion Metrics,PA0000,HR Employee & Workforce,Dim Employee,HR action record for personnel master updates,
Human Resource,Diversity and Inclusion Metrics,PA0001,HR Employee & Workforce,Dim Employee,"Organizational assignment for employee cost center, position and department",
Human Resource,Diversity and Inclusion Metrics,PA0002,HR Employee & Workforce,Dim Employee,Personal data and identity attributes for employees,
Human Resource,Diversity and Inclusion Metrics,PA0006,HR Employee & Workforce,Dim Employee,Employee address details for contact and locality reporting,
Human Resource,Diversity and Inclusion Metrics,PA0007,HR Employee & Workforce,Dim Employee,Planned working time for shift and capacity planning,
Human Resource,Diversity and Inclusion Metrics,PA0008,HR Employee & Workforce,Dim Employee,Basic pay master data for compensation analytics,
Human Resource,Diversity and Inclusion Metrics,PA0014,HR Employee & Workforce,Dim Employee,Recurring payments and deductions for payroll and benefits,
Human Resource,Diversity and Inclusion Metrics,PA0015,HR Employee & Workforce,Dim Employee,Additional payments and allowances for employee cost tracking,
Human Resource,Diversity and Inclusion Metrics,PA2001,HR Employee & Workforce,Fact Workforce Attendance,"Absence records for leave, sickness and attendance analysis","absence days, absence type count"
Human Resource,Diversity and Inclusion Metrics,PA2002,HR Employee & Workforce,Fact Workforce Attendance,Attendance records for working time and presence tracking,"attendance days, working hours"
Human Resource,Diversity and Inclusion Metrics,PA2006,HR Employee & Workforce,Dim Employee,Absence quota data for leave entitlement and planning,
Human Resource,Diversity and Inclusion Metrics,HRP1000,HR Employee & Workforce,Dim Organization,HR object master data for organizational structure and positions,
Human Resource,Diversity and Inclusion Metrics,HRP1001,HR Employee & Workforce,Dim Organization,"HR relationships linking positions, jobs and employees",
Human Resource,Diversity and Inclusion Metrics,T527X,HR Employee & Workforce,Dim Organization,Organizational unit and position text descriptions,
Human Resource,Performance Management Trends,PA0000,HR Employee & Workforce,Dim Employee,HR action record for personnel master updates,
Human Resource,Performance Management Trends,PA0001,HR Employee & Workforce,Dim Employee,"Organizational assignment for employee cost center, position and department",
Human Resource,Performance Management Trends,PA0002,HR Employee & Workforce,Dim Employee,Personal data and identity attributes for employees,
Human Resource,Performance Management Trends,PA0006,HR Employee & Workforce,Dim Employee,Employee address details for contact and locality reporting,
Human Resource,Performance Management Trends,PA0007,HR Employee & Workforce,Dim Employee,Planned working time for shift and capacity planning,
Human Resource,Performance Management Trends,PA0008,HR Employee & Workforce,Dim Employee,Basic pay master data for compensation analytics,
Human Resource,Performance Management Trends,PA0014,HR Employee & Workforce,Dim Employee,Recurring payments and deductions for payroll and benefits,
Human Resource,Performance Management Trends,PA0015,HR Employee & Workforce,Dim Employee,Additional payments and allowances for employee cost tracking,
Human Resource,Performance Management Trends,PA2001,HR Employee & Workforce,Fact Workforce Attendance,"Absence records for leave, sickness and attendance analysis","absence days, absence type count"
Human Resource,Performance Management Trends,PA2002,HR Employee & Workforce,Fact Workforce Attendance,Attendance records for working time and presence tracking,"attendance days, working hours"
Human Resource,Performance Management Trends,PA2006,HR Employee & Workforce,Dim Employee,Absence quota data for leave entitlement and planning,
Human Resource,Performance Management Trends,HRP1000,HR Employee & Workforce,Dim Organization,HR object master data for organizational structure and positions,
Human Resource,Performance Management Trends,HRP1001,HR Employee & Workforce,Dim Organization,"HR relationships linking positions, jobs and employees",
Human Resource,Performance Management Trends,T527X,HR Employee & Workforce,Dim Organization,Organizational unit and position text descriptions,
Human Resource,Overtime and Workforce Utilization,PA0000,HR Employee & Workforce,Dim Employee,HR action record for personnel master updates,
Human Resource,Overtime and Workforce Utilization,PA0001,HR Employee & Workforce,Dim Employee,"Organizational assignment for employee cost center, position and department",
Human Resource,Overtime and Workforce Utilization,PA0002,HR Employee & Workforce,Dim Employee,Personal data and identity attributes for employees,
Human Resource,Overtime and Workforce Utilization,PA0006,HR Employee & Workforce,Dim Employee,Employee address details for contact and locality reporting,
Human Resource,Overtime and Workforce Utilization,PA0007,HR Employee & Workforce,Dim Employee,Planned working time for shift and capacity planning,
Human Resource,Overtime and Workforce Utilization,PA0008,HR Employee & Workforce,Dim Employee,Basic pay master data for compensation analytics,
Human Resource,Overtime and Workforce Utilization,PA0014,HR Employee & Workforce,Dim Employee,Recurring payments and deductions for payroll and benefits,
Human Resource,Overtime and Workforce Utilization,PA0015,HR Employee & Workforce,Dim Employee,Additional payments and allowances for employee cost tracking,
Human Resource,Overtime and Workforce Utilization,PA2001,HR Employee & Workforce,Fact Workforce Attendance,"Absence records for leave, sickness and attendance analysis","absence days, absence type count"
Human Resource,Overtime and Workforce Utilization,PA2002,HR Employee & Workforce,Fact Workforce Attendance,Attendance records for working time and presence tracking,"attendance days, working hours"
Human Resource,Overtime and Workforce Utilization,PA2006,HR Employee & Workforce,Dim Employee,Absence quota data for leave entitlement and planning,
Human Resource,Overtime and Workforce Utilization,HRP1000,HR Employee & Workforce,Dim Organization,HR object master data for organizational structure and positions,
Human Resource,Overtime and Workforce Utilization,HRP1001,HR Employee & Workforce,Dim Organization,"HR relationships linking positions, jobs and employees",
Human Resource,Overtime and Workforce Utilization,T527X,HR Employee & Workforce,Dim Organization,Organizational unit and position text descriptions,
Human Resource,Benefits Usage and Optimization,PA0000,HR Employee & Workforce,Dim Employee,HR action record for personnel master updates,
Human Resource,Benefits Usage and Optimization,PA0001,HR Employee & Workforce,Dim Employee,"Organizational assignment for employee cost center, position and department",
Human Resource,Benefits Usage and Optimization,PA0002,HR Employee & Workforce,Dim Employee,Personal data and identity attributes for employees,
Human Resource,Benefits Usage and Optimization,PA0006,HR Employee & Workforce,Dim Employee,Employee address details for contact and locality reporting,
Human Resource,Benefits Usage and Optimization,PA0007,HR Employee & Workforce,Dim Employee,Planned working time for shift and capacity planning,
Human Resource,Benefits Usage and Optimization,PA0008,HR Employee & Workforce,Dim Employee,Basic pay master data for compensation analytics,
Human Resource,Benefits Usage and Optimization,PA0014,HR Employee & Workforce,Dim Employee,Recurring payments and deductions for payroll and benefits,
Human Resource,Benefits Usage and Optimization,PA0015,HR Employee & Workforce,Dim Employee,Additional payments and allowances for employee cost tracking,
Human Resource,Benefits Usage and Optimization,PA2001,HR Employee & Workforce,Fact Workforce Attendance,"Absence records for leave, sickness and attendance analysis","absence days, absence type count"
Human Resource,Benefits Usage and Optimization,PA2002,HR Employee & Workforce,Fact Workforce Attendance,Attendance records for working time and presence tracking,"attendance days, working hours"
Human Resource,Benefits Usage and Optimization,PA2006,HR Employee & Workforce,Dim Employee,Absence quota data for leave entitlement and planning,
Human Resource,Benefits Usage and Optimization,HRP1000,HR Employee & Workforce,Dim Organization,HR object master data for organizational structure and positions,
Human Resource,Benefits Usage and Optimization,HRP1001,HR Employee & Workforce,Dim Organization,"HR relationships linking positions, jobs and employees",
Human Resource,Benefits Usage and Optimization,T527X,HR Employee & Workforce,Dim Organization,Organizational unit and position text descriptions,
IT System and Data Integrity,Data Quality Metrics,CDHDR,Change Document Header,Dim IT Audit,Change document header for data change tracking and governance,
IT System and Data Integrity,Data Quality Metrics,CDPOS,Change Document Item,Dim IT Audit,Change document item details for field-level change auditing,
IT System and Data Integrity,Data Quality Metrics,BDCP2,Change Pointer,Dim IT Audit,Change pointers used for ALE/IDoc replication and integration status,
IT System and Data Integrity,Data Quality Metrics,BALHDR,Application Log Header,Fact Integration Audit,Application log header for system exception and interface monitoring,log entry count
IT System and Data Integrity,Data Quality Metrics,BALDAT,Application Log Data,Fact Integration Audit,Application log data details for integration and process exceptions,log entry count
IT System and Data Integrity,Data Quality Metrics,EDIDC,IT Audit & Integration,Dim IDoc,IDoc control record for electronic message routing and status tracking,
IT System and Data Integrity,Data Quality Metrics,EDID4,IT Audit & Integration,Dim IDoc,IDoc data record for payload and integration mapping analysis,
IT System and Data Integrity,Data Quality Metrics,TBDLS,Logical System,Dim IT System,Logical system registry for distributed SAP integration landscapes,
IT System and Data Integrity,Data Quality Metrics,DD02L,Table Definition,Dim Data Dictionary,Table definitions for metadata and governance with data object lineage,
IT System and Data Integrity,Data Quality Metrics,DD03L,Field Definition,Dim Data Dictionary,Field definitions for data governance and harmonization verification,
IT System and Data Integrity,Data Quality Metrics,T000,Client Master,Dim IT System,Client master record for SAP client-level segmentation and governance,
IT System and Data Integrity,Data Quality Metrics,USR02,System User Logon,Dim IT System,System user logon data for security and access audit,
IT System and Data Integrity,Data Quality Metrics,AGR_USERS,Role Assignment,Dim IT System,Role assignments for user authorization and governance,
IT System and Data Integrity,Duplicate Records Check,CDHDR,Change Document Header,Dim IT Audit,Change document header for data change tracking and governance,
IT System and Data Integrity,Duplicate Records Check,CDPOS,Change Document Item,Dim IT Audit,Change document item details for field-level change auditing,
IT System and Data Integrity,Duplicate Records Check,BDCP2,Change Pointer,Dim IT Audit,Change pointers used for ALE/IDoc replication and integration status,
IT System and Data Integrity,Duplicate Records Check,BALHDR,Application Log Header,Fact Integration Audit,Application log header for system exception and interface monitoring,log entry count
IT System and Data Integrity,Duplicate Records Check,BALDAT,Application Log Data,Fact Integration Audit,Application log data details for integration and process exceptions,log entry count
IT System and Data Integrity,Duplicate Records Check,EDIDC,IT Audit & Integration,Dim IDoc,IDoc control record for electronic message routing and status tracking,
IT System and Data Integrity,Duplicate Records Check,EDID4,IT Audit & Integration,Dim IDoc,IDoc data record for payload and integration mapping analysis,
IT System and Data Integrity,Duplicate Records Check,TBDLS,Logical System,Dim IT System,Logical system registry for distributed SAP integration landscapes,
IT System and Data Integrity,Duplicate Records Check,DD02L,Table Definition,Dim Data Dictionary,Table definitions for metadata and governance with data object lineage,
IT System and Data Integrity,Duplicate Records Check,DD03L,Field Definition,Dim Data Dictionary,Field definitions for data governance and harmonization verification,
IT System and Data Integrity,Duplicate Records Check,T000,Client Master,Dim IT System,Client master record for SAP client-level segmentation and governance,
IT System and Data Integrity,Duplicate Records Check,USR02,System User Logon,Dim IT System,System user logon data for security and access audit,
IT System and Data Integrity,Duplicate Records Check,AGR_USERS,Role Assignment,Dim IT System,Role assignments for user authorization and governance,
IT System and Data Integrity,Master Data Governance Compliance,CDHDR,Change Document Header,Dim IT Audit,Change document header for data change tracking and governance,
IT System and Data Integrity,Master Data Governance Compliance,CDPOS,Change Document Item,Dim IT Audit,Change document item details for field-level change auditing,
IT System and Data Integrity,Master Data Governance Compliance,BDCP2,Change Pointer,Dim IT Audit,Change pointers used for ALE/IDoc replication and integration status,
IT System and Data Integrity,Master Data Governance Compliance,BALHDR,Application Log Header,Fact Integration Audit,Application log header for system exception and interface monitoring,log entry count
IT System and Data Integrity,Master Data Governance Compliance,BALDAT,Application Log Data,Fact Integration Audit,Application log data details for integration and process exceptions,log entry count
IT System and Data Integrity,Master Data Governance Compliance,EDIDC,IT Audit & Integration,Dim IDoc,IDoc control record for electronic message routing and status tracking,
IT System and Data Integrity,Master Data Governance Compliance,EDID4,IT Audit & Integration,Dim IDoc,IDoc data record for payload and integration mapping analysis,
IT System and Data Integrity,Master Data Governance Compliance,TBDLS,Logical System,Dim IT System,Logical system registry for distributed SAP integration landscapes,
IT System and Data Integrity,Master Data Governance Compliance,DD02L,Table Definition,Dim Data Dictionary,Table definitions for metadata and governance with data object lineage,
IT System and Data Integrity,Master Data Governance Compliance,DD03L,Field Definition,Dim Data Dictionary,Field definitions for data governance and harmonization verification,
IT System and Data Integrity,Master Data Governance Compliance,T000,Client Master,Dim IT System,Client master record for SAP client-level segmentation and governance,
IT System and Data Integrity,Master Data Governance Compliance,USR02,System User Logon,Dim IT System,System user logon data for security and access audit,
IT System and Data Integrity,Master Data Governance Compliance,AGR_USERS,Role Assignment,Dim IT System,Role assignments for user authorization and governance,
IT System and Data Integrity,Data Ownership and Stewardship,CDHDR,Change Document Header,Dim IT Audit,Change document header for data change tracking and governance,
IT System and Data Integrity,Data Ownership and Stewardship,CDPOS,Change Document Item,Dim IT Audit,Change document item details for field-level change auditing,
IT System and Data Integrity,Data Ownership and Stewardship,BDCP2,Change Pointer,Dim IT Audit,Change pointers used for ALE/IDoc replication and integration status,
IT System and Data Integrity,Data Ownership and Stewardship,BALHDR,Application Log Header,Fact Integration Audit,Application log header for system exception and interface monitoring,log entry count
IT System and Data Integrity,Data Ownership and Stewardship,BALDAT,Application Log Data,Fact Integration Audit,Application log data details for integration and process exceptions,log entry count
IT System and Data Integrity,Data Ownership and Stewardship,EDIDC,IT Audit & Integration,Dim IDoc,IDoc control record for electronic message routing and status tracking,
IT System and Data Integrity,Data Ownership and Stewardship,EDID4,IT Audit & Integration,Dim IDoc,IDoc data record for payload and integration mapping analysis,
IT System and Data Integrity,Data Ownership and Stewardship,TBDLS,Logical System,Dim IT System,Logical system registry for distributed SAP integration landscapes,
IT System and Data Integrity,Data Ownership and Stewardship,DD02L,Table Definition,Dim Data Dictionary,Table definitions for metadata and governance with data object lineage,
IT System and Data Integrity,Data Ownership and Stewardship,DD03L,Field Definition,Dim Data Dictionary,Field definitions for data governance and harmonization verification,
IT System and Data Integrity,Data Ownership and Stewardship,T000,Client Master,Dim IT System,Client master record for SAP client-level segmentation and governance,
IT System and Data Integrity,Data Ownership and Stewardship,USR02,System User Logon,Dim IT System,System user logon data for security and access audit,
IT System and Data Integrity,Data Ownership and Stewardship,AGR_USERS,Role Assignment,Dim IT System,Role assignments for user authorization and governance,
IT System and Data Integrity,Data Update Frequency,CDHDR,Change Document Header,Dim IT Audit,Change document header for data change tracking and governance,
IT System and Data Integrity,Data Update Frequency,CDPOS,Change Document Item,Dim IT Audit,Change document item details for field-level change auditing,
IT System and Data Integrity,Data Update Frequency,BDCP2,Change Pointer,Dim IT Audit,Change pointers used for ALE/IDoc replication and integration status,
IT System and Data Integrity,Data Update Frequency,BALHDR,Application Log Header,Fact Integration Audit,Application log header for system exception and interface monitoring,log entry count
IT System and Data Integrity,Data Update Frequency,BALDAT,Application Log Data,Fact Integration Audit,Application log data details for integration and process exceptions,log entry count
IT System and Data Integrity,Data Update Frequency,EDIDC,IT Audit & Integration,Dim IDoc,IDoc control record for electronic message routing and status tracking,
IT System and Data Integrity,Data Update Frequency,EDID4,IT Audit & Integration,Dim IDoc,IDoc data record for payload and integration mapping analysis,
IT System and Data Integrity,Data Update Frequency,TBDLS,Logical System,Dim IT System,Logical system registry for distributed SAP integration landscapes,
IT System and Data Integrity,Data Update Frequency,DD02L,Table Definition,Dim Data Dictionary,Table definitions for metadata and governance with data object lineage,
IT System and Data Integrity,Data Update Frequency,DD03L,Field Definition,Dim Data Dictionary,Field definitions for data governance and harmonization verification,
IT System and Data Integrity,Data Update Frequency,T000,Client Master,Dim IT System,Client master record for SAP client-level segmentation and governance,
IT System and Data Integrity,Data Update Frequency,USR02,System User Logon,Dim IT System,System user logon data for security and access audit,
IT System and Data Integrity,Data Update Frequency,AGR_USERS,Role Assignment,Dim IT System,Role assignments for user authorization and governance,
IT System and Data Integrity,Supplier and Vendor Master Data,CDHDR,Change Document Header,Dim IT Audit,Change document header for data change tracking and governance,
IT System and Data Integrity,Supplier and Vendor Master Data,CDPOS,Change Document Item,Dim IT Audit,Change document item details for field-level change auditing,
